condition,stimulus_string
WORDS,LADY GENTLEMEN BOUQUET WHITE ON A STRIPED HOLDING FLOWERS TALKING A AND SERIOUSLY LOOKS A STEPS SHIRT THE IN OF AND BLACK TWO AT
WORDS,WALKING PROUDLY DOWN A THE STREET MAN
WORDS,PROUDLY WALKING MAN THE A STREET DOWN
WORDS,STREET A MAN THE WALKING DOWN PROUDLY
WORDS,A FOUR POOL CANNONBALLS INTO TEENAGE SWIMMING DOING BOYS ARE
WORDS,TEENAGE FOUR ARE DOING POOL SWIMMING CANNONBALLS A BOYS INTO
WORDS,DOING INTO ARE A FOUR TEENAGE POOL BOYS CANNONBALLS SWIMMING
WORDS,THREE AT STANDING THE LOOKING BY MEN ON GRASS WATER ON SOMETHING TABLE A
WORDS,MEN LOOKING STANDING A ON ON THE TABLE AT THREE GRASS BY SOMETHING WATER
WORDS,A AT MEN WATER LOOKING THE ON STANDING TABLE ON GRASS SOMETHING BY THREE
WORDS,WITH GRILL HANDS STANDS OUTDOOR AN A A BASKET BEHIND OF BLUE WOMAN HER IN FOOD
WORDS,FOOD WITH A GRILL OF OUTDOOR BLUE HANDS WOMAN STANDS BEHIND HER A IN BASKET AN
WORDS,BEHIND GRILL BLUE A OUTDOOR OF HER A STANDS WOMAN HANDS BASKET IN AN WITH FOOD
WORDS,WAY POND MAKES DEEP A THROUGH ROVER LAND A ITS
WORDS,DEEP THROUGH WAY ITS MAKES POND LAND A A ROVER
WORDS,POND A LAND THROUGH DEEP MAKES WAY ROVER ITS A
WORDS,PEOPLE YARD MANY THE IN RELAX
WORDS,IN PEOPLE THE YARD MANY RELAX
WORDS,YARD RELAX IN PEOPLE THE MANY
WORDS,CAR IN WATER A SINKING
WORDS,CAR A SINKING WATER IN
WORDS,SINKING IN CAR A WATER
WORDS,IS MAN A BLACK PLAYING A ELECTRIC CONCERT GUITAR WEARING AN AT
WORDS,AT PLAYING GUITAR IS A CONCERT ELECTRIC MAN BLACK A AN WEARING
WORDS,AT A PLAYING IS MAN AN ELECTRIC GUITAR CONCERT A WEARING BLACK
WORDS,GUITAR MAN PLAYING CENTER A WILD ROCKS SHOW HAIR WITH A A STAGE
WORDS,GUITAR PLAYING MAN ROCKS A STAGE WILD HAIR A CENTER SHOW A WITH
WORDS,A STAGE ROCKS MAN A WILD A SHOW CENTER HAIR WITH PLAYING GUITAR
WORDS,LABELED CAR AND POWELL ON TROLLEY BAY CHILD MARKET AND AND TAYLOR WOMAN AND
WORDS,LABELED CHILD BAY AND AND AND ON TAYLOR MARKET CAR POWELL TROLLEY AND WOMAN
WORDS,WOMAN ON TAYLOR CAR BAY POWELL LABELED MARKET CHILD AND AND TROLLEY AND AND
WORDS,A ONE AFRICAN ONE AMERICAN MEDICAL LOOKING HOSPITAL TWO FEMALE IN PAPERWORK WHITE OVER PROFESSIONALS
WORDS,A TWO PAPERWORK HOSPITAL IN PROFESSIONALS OVER FEMALE ONE AFRICAN LOOKING WHITE MEDICAL ONE AMERICAN
WORDS,OVER LOOKING HOSPITAL MEDICAL ONE WHITE IN ONE PROFESSIONALS AMERICAN PAPERWORK TWO AFRICAN A FEMALE
WORDS,THROUGH BINDERS ARE READING LADIES TWO
WORDS,READING TWO ARE LADIES THROUGH BINDERS
WORDS,BINDERS THROUGH ARE READING LADIES TWO
WORDS,WORDS WITH DISTANCE AND GRAFFITI BRICK A PAST A MAN IS IN WALKING PAINTED THE WALL
WORDS,DISTANCE PAST IS WALKING WORDS IN PAINTED WITH THE MAN GRAFFITI BRICK A A AND WALL
WORDS,THE PAINTED MAN AND BRICK PAST A WITH GRAFFITI A DISTANCE IS WORDS WALKING WALL IN
WORDS,WHILE A RAILING CHILD ON TROLLEY HOLDING ON THE AND WOMAN A TO
WORDS,WHILE TO HOLDING A THE WOMAN A ON CHILD TROLLEY AND ON RAILING
WORDS,WHILE A TROLLEY CHILD AND THE ON HOLDING WOMAN ON A RAILING TO
WORDS,SMILING MAN IN AND A SHIRT A IS POLO STRIPED POINTING
WORDS,IS STRIPED AND IN POLO SMILING MAN POINTING A A SHIRT
WORDS,MAN POLO IN SMILING SHIRT STRIPED POINTING IS A A AND
WORDS,AN AUDIENCE A A JUMP GUY BICYCLE PERFORMING FOR TRICK
WORDS,FOR A PERFORMING GUY TRICK A AUDIENCE BICYCLE JUMP AN
WORDS,AN BICYCLE AUDIENCE A FOR JUMP GUY TRICK A PERFORMING
WORDS,HEAD IN COAT BALANCES IT WITH BLUE A WOMAN HER ON GRAYHAIRED A ON DRESS SOMETHING SNOWFLAKES
WORDS,BALANCES IN WITH GRAYHAIRED HEAD ON COAT HER BLUE A IT WOMAN SOMETHING SNOWFLAKES ON DRESS A
WORDS,WOMAN HER A HEAD ON WITH SNOWFLAKES IN GRAYHAIRED SOMETHING COAT BLUE A IT DRESS ON BALANCES
WORDS,OUTSIDE TWO CHILDREN IN A PLAY FIELD
WORDS,TWO FIELD PLAY CHILDREN OUTSIDE IN A
WORDS,FIELD PLAY OUTSIDE CHILDREN IN TWO A
WORDS,BANJO ARE PLAYS THERE ONE HIM BEHIND INSIDE THE SITS OUTSIDE AND MAN TREES
WORDS,BEHIND AND HIM THERE BANJO SITS MAN PLAYS INSIDE ONE OUTSIDE ARE TREES THE
WORDS,THE ARE PLAYS AND OUTSIDE SITS BANJO ONE MAN HIM BEHIND THERE INSIDE TREES
WORDS,TWO IN IN WITH ROCK COLORFUL A OUTFITS MIDDLE IN BIG FIELD PLAYING THE A CHILDREN
WORDS,FIELD BIG A PLAYING COLORFUL TWO THE ROCK IN WITH MIDDLE A OUTFITS IN CHILDREN IN
WORDS,MIDDLE IN FIELD TWO IN WITH A A IN CHILDREN OUTFITS PLAYING COLORFUL BIG THE ROCK
WORDS,YOUNG ENVIRONMENT A ARE TWO GIRLS PLAYING IN NONURBAN OUTSIDE
WORDS,TWO IN YOUNG ENVIRONMENT PLAYING GIRLS OUTSIDE NONURBAN A ARE
WORDS,A NONURBAN ARE ENVIRONMENT YOUNG IN TWO GIRLS PLAYING OUTSIDE
WORDS,OPEN IN PLAY ROCKY TWO HATS IN CHILDREN AN FIELD
WORDS,TWO CHILDREN HATS OPEN FIELD AN ROCKY IN IN PLAY
WORDS,IN OPEN AN HATS ROCKY TWO FIELD CHILDREN IN PLAY
WORDS,WOMAN IS A WITH AND WITH PANTS WEARING WEARING TOP BLUE SOMEONE A GREEN WHITE DANCING DRESS PINK A
WORDS,PANTS WITH DRESS WEARING A A WHITE BLUE WEARING IS AND A SOMEONE TOP WOMAN PINK WITH GREEN DANCING
WORDS,A WITH WITH WEARING WHITE DRESS A IS DANCING AND A WEARING SOMEONE PINK TOP WOMAN BLUE PANTS GREEN
WORDS,CAMERA LOOKING MAN AT PANTS IN GOLD THE
WORDS,PANTS THE LOOKING GOLD IN CAMERA AT MAN
WORDS,THE CAMERA MAN IN LOOKING AT PANTS GOLD
WORDS,THE SITS IN FRONT GOLD MAN COMPUTER OF SKIRT A IN A
WORDS,A IN THE OF FRONT SKIRT GOLD MAN COMPUTER IN A SITS
WORDS,COMPUTER MAN IN IN OF A GOLD SITS THE FRONT SKIRT A
WORDS,WEARING MAN TSHIRT SITTING DESK BLACK AT COMPUTER A
WORDS,SITTING DESK A WEARING MAN COMPUTER AT BLACK TSHIRT
WORDS,SITTING DESK MAN COMPUTER TSHIRT BLACK WEARING AT A
WORDS,MAN COMPUTER BLACK IN HOLDING TSHIRT FRONT A BEARDED A IN A OF DESK SITS A
WORDS,BEARDED MAN SITS HOLDING A A IN A OF BLACK TSHIRT A IN COMPUTER FRONT DESK
WORDS,BLACK IN BEARDED COMPUTER DESK IN A A OF MAN A A HOLDING TSHIRT FRONT SITS
WORDS,WITH CAMERA DESK SITTING SKIRT AT HANDS IN HIS MAN RAISED AT A GOLD A COMPUTER FOILS FACE THE HIS A LOOKS TO
WORDS,TO FOILS A THE DESK A LOOKS RAISED SITTING SKIRT WITH HIS MAN HANDS A IN COMPUTER AT FACE GOLD HIS CAMERA AT
WORDS,A RAISED MAN CAMERA FACE FOILS DESK THE TO HIS GOLD WITH HANDS COMPUTER A SKIRT SITTING AT LOOKS IN HIS A AT
WORDS,ON WITH SITTING YOUNG A BOWL TABLE GIRL HEAD A A HER AT
WORDS,HER A SITTING BOWL WITH TABLE A HEAD GIRL ON AT YOUNG A
WORDS,HEAD SITTING ON GIRL AT A A WITH BOWL HER TABLE YOUNG A
WORDS,FIRE WITH DANCES A MAN NIGHT A AT BATON
WORDS,BATON A NIGHT FIRE DANCES WITH AT MAN A
WORDS,MAN AT WITH FIRE BATON A NIGHT DANCES A
WORDS,THE DOCTOR CHECKS A A STOMACH TODDLER OF
WORDS,CHECKS A A OF STOMACH DOCTOR THE TODDLER
WORDS,THE DOCTOR CHECKS STOMACH TODDLER OF A A
WORDS,A WOMAN INTO BLOND YOUNG WATER PUTTING HER FOUNTAIN FOOT
WORDS,YOUNG FOUNTAIN WOMAN FOOT HER WATER PUTTING BLOND INTO A
WORDS,A YOUNG HER WOMAN PUTTING FOUNTAIN WATER INTO FOOT BLOND
WORDS,YOUNG HER A FOOT IN FOUNTAIN TRIES A STICK TO WOMAN
WORDS,WOMAN FOUNTAIN YOUNG HER STICK FOOT TO A TRIES IN A
WORDS,WOMAN A YOUNG IN STICK A TRIES TO FOOT FOUNTAIN HER
WORDS,FOUNTAIN ON IN THE WATER WITH TOUCH JEANS FALLING HER THE KICKED OF OUT WOMAN LEFT CROUCHES FOOT CAPRI EDGE TO A A
WORDS,JEANS TO WOMAN WITH OUT WATER ON THE A TOUCH THE OF FOUNTAIN CROUCHES FOOT LEFT KICKED CAPRI FALLING HER A IN EDGE
WORDS,KICKED ON WITH THE A CAPRI FOUNTAIN A WATER IN HER LEFT THE TO TOUCH JEANS OUT WOMAN FALLING OF FOOT EDGE CROUCHES
WORDS,OF FOUNTAIN EDGE BALANCING HER WATER THE STICKING ON TOE WOMAN WHILE IN
WORDS,STICKING WATER WOMAN WHILE BALANCING TOE ON OF EDGE IN HER FOUNTAIN THE
WORDS,ON WATER OF FOUNTAIN WHILE IN WOMAN STICKING BALANCING HER EDGE THE TOE
WORDS,ARM HAND CITY A STROLLS AND AND COUPLE ARM A SIDEWALK DOWN IN HAND
WORDS,STROLLS DOWN A SIDEWALK HAND AND IN ARM A HAND COUPLE CITY AND ARM
WORDS,CITY SIDEWALK HAND ARM DOWN IN A HAND AND AND A COUPLE STROLLS ARM
WORDS,A BLOCK WALKING PASSING WHILE DOWN STARE AT THE A MAN COUPLE
WORDS,PASSING WALKING A A DOWN BLOCK THE COUPLE STARE WHILE AT MAN
WORDS,STARE THE A AT WALKING MAN DOWN BLOCK A PASSING WHILE COUPLE
WORDS,COUPLE BEHIND A DOWN A THE ARM THEIR HER STREET BACKS HIS HANDS ARE AND WHILE SHOULDER AROUND WALKING HAS MAN HOLDING
WORDS,MAN ARM A HAS HIS WALKING AND HER AROUND DOWN COUPLE BACKS HOLDING WHILE SHOULDER HANDS BEHIND THE ARE STREET A THEIR
WORDS,A STREET WALKING DOWN HOLDING HAS COUPLE HER A HIS THE THEIR ARE HANDS WHILE BACKS ARM SHOULDER AND BEHIND AROUND MAN
WORDS,ARE SIDEWALK A A ALONG CITY WALK A HANDS MAN THEY WOMAN AND HOLDING AS
WORDS,WOMAN THEY CITY SIDEWALK ALONG A AS A A WALK AND HANDS ARE MAN HOLDING
WORDS,AS HOLDING AND ALONG HANDS A MAN THEY SIDEWALK A A WALK ARE CITY WOMAN
WORDS,A THE CHILD STANDS AT RED HIS MAN WITH IN BEACH
WORDS,WITH RED HIS IN STANDS MAN BEACH A THE AT CHILD
WORDS,RED IN WITH AT THE MAN CHILD A BEACH HIS STANDS
WORDS,TO TO PLAYED CAN SHOW WALK APPRECIATION WHO THE NOT KIDS NEW IS BEING SPORT
WORDS,TO THE BEING KIDS SHOW NOT IS NEW WHO APPRECIATION TO PLAYED WALK CAN SPORT
WORDS,TO SPORT NOT THE PLAYED BEING WHO SHOW TO WALK IS CAN KIDS NEW APPRECIATION
WORDS,A FOR REACHING IN ARE IN TWO MEN BASKETBALL WHEELCHAIRS AIR THE
WORDS,BASKETBALL TWO WHEELCHAIRS MEN ARE REACHING A AIR THE IN IN FOR
WORDS,IN FOR IN BASKETBALL WHEELCHAIRS THE TWO AIR ARE MEN A REACHING
WORDS,DESCENDING THE WEARING ATTEMPTING TO THREE PLAYERS OTHER UNIFORMS TEAM THE ARE WHEELCHAIR BASKETBALL PLAYERS WITH IN REACH BASKETBALL BACKGROUND
WORDS,ATTEMPTING THE BASKETBALL THE THREE TO DESCENDING WEARING WITH BACKGROUND PLAYERS TEAM REACH OTHER WHEELCHAIR IN UNIFORMS BASKETBALL PLAYERS ARE
WORDS,WEARING WHEELCHAIR BASKETBALL BACKGROUND BASKETBALL THE DESCENDING ATTEMPTING REACH WITH TEAM THREE IN OTHER THE PLAYERS UNIFORMS TO PLAYERS ARE
WORDS,ARE FOUR IN ON BASKETBALL GRAB A TWO MIDAIR BASKETBALL GUYS IN TRYING WHEELCHAIRS A TO COURT
WORDS,GRAB FOUR GUYS A IN A MIDAIR WHEELCHAIRS TO TRYING ARE BASKETBALL ON TWO IN COURT BASKETBALL
WORDS,IN TRYING BASKETBALL A ON MIDAIR COURT IN TWO ARE GRAB TO WHEELCHAIRS GUYS FOUR BASKETBALL A
WORDS,BITING BROWN IN OF DIFFERENT AND AND SHADES DOGS EACH LICKING OTHER THREE WHITE
WORDS,AND LICKING DIFFERENT IN WHITE AND OF THREE OTHER EACH BROWN SHADES DOGS BITING
WORDS,EACH DOGS WHITE OF IN BITING OTHER AND LICKING BROWN SHADES AND DIFFERENT THREE
WORDS,STICKING ITS THIRD WHICH BITE HAS TWO PLAYFULLY DOG OUT A DOGS TONGUE
WORDS,WHICH PLAYFULLY ITS TWO HAS TONGUE DOG STICKING A BITE DOGS OUT THIRD
WORDS,ITS STICKING WHICH TWO BITE DOGS PLAYFULLY THIRD OUT A HAS DOG TONGUE
WORDS,THREE IN AND TOGETHER GRASS THE BITE PLAY PUPPIES SMALL
WORDS,TOGETHER IN PLAY BITE PUPPIES GRASS THREE THE AND SMALL
WORDS,AND BITE IN THREE PUPPIES PLAY TOGETHER GRASS THE SMALL
WORDS,TWO IN DOG A DOGS FIELD BITING ANOTHER
WORDS,IN A FIELD BITING ANOTHER DOGS DOG TWO
WORDS,FIELD IN BITING A ANOTHER DOG TWO DOGS
WORDS,WAITING TRAIN A STOP AT TOURISTS
WORDS,TOURISTS STOP WAITING AT A TRAIN
WORDS,TRAIN WAITING AT TOURISTS STOP A
WORDS,A AN WOMAN BLUE A IN TWO MEN SCRUBS OPERATION ASSISTED DOCTOR IS AND BY PERFORMING
WORDS,ASSISTED OPERATION A PERFORMING IS IN BLUE MEN AN TWO AND SCRUBS WOMAN BY DOCTOR A
WORDS,DOCTOR A IS WOMAN A AND MEN BLUE BY SCRUBS IN OPERATION PERFORMING TWO ASSISTED AN
WORDS,A JACKET MOVIE OUTDOOR BLACK AN WALKS WOMAN A WITH POSTER PAST
WORDS,JACKET BLACK POSTER A OUTDOOR PAST AN WALKS MOVIE WOMAN A WITH
WORDS,WALKS JACKET A MOVIE WITH PAST OUTDOOR A POSTER BLACK AN WOMAN
WORDS,A IS WITH ON SIDEWALK HAT TWO STANDING HOLDING MAN UMBRELLA A WHITE AN OTHER IN MEN THE ELF
WORDS,STANDING THE WHITE A IS OTHER WITH IN A HOLDING MEN AN MAN ELF UMBRELLA TWO SIDEWALK ON HAT
WORDS,ELF STANDING IS WITH SIDEWALK WHITE A OTHER ON THE AN MEN A HOLDING MAN HAT UMBRELLA TWO IN
WORDS,IN INDIAN DANCING GUY LADY SUNLIGHT THE IN BLUE AND A A SUIT
WORDS,INDIAN IN IN DANCING A SUNLIGHT AND SUIT LADY BLUE A GUY THE
WORDS,A IN A SUIT INDIAN AND IN DANCING THE SUNLIGHT GUY LADY BLUE
WORDS,ARE OLDER MEN TALKING TWO
WORDS,MEN ARE TALKING OLDER TWO
WORDS,MEN TALKING TWO OLDER ARE
WORDS,BIKER A SLOPE FOREST A MOUNTAIN AREA JUMPING IN OUTDOORS A
WORDS,OUTDOORS SLOPE MOUNTAIN AREA A A FOREST JUMPING BIKER A IN
WORDS,AREA FOREST A A SLOPE MOUNTAIN OUTDOORS IN A JUMPING BIKER
WORDS,SLOPE BIKER A FOREST A OUTDOORS A AREA MOUNTAIN JUMPING IN
WORDS,A A FOREST OUTDOORS MOUNTAIN A IN BIKER AREA SLOPE JUMPING
WORDS,OUTDOORS AREA BIKER A A MOUNTAIN A FOREST JUMPING SLOPE IN
WORDS,A A FOREST A IN BIKER JUMPING OUTDOORS AREA SLOPE MOUNTAIN
WORDS,A IN JUMPING OUTDOORS FOREST MOUNTAIN AREA BIKER A SLOPE A
WORDS,A MOUNTAIN AREA FOREST A A OUTDOORS BIKER JUMPING SLOPE IN
WORDS,FOREST A SLOPE AREA IN MOUNTAIN JUMPING A BIKER OUTDOORS A
WORDS,SLOPE OUTDOORS AREA A FOREST BIKER A JUMPING IN A MOUNTAIN
WORDS,MOUNTAIN SLOPE A FOREST JUMPING BIKER IN A OUTDOORS AREA A
WORDS,A JUMPING MOUNTAIN A OUTDOORS FOREST AREA BIKER A SLOPE IN
WORDS,MOUNTAIN A A OUTDOORS JUMPING IN BIKER AREA A SLOPE FOREST
WORDS,BIKER A IN A AREA OUTDOORS FOREST A SLOPE MOUNTAIN JUMPING
WORDS,COATS WITH IN GRASSY A SNOW IN LAWN OF TALKING OF OLDER WINTER A IN IT A LIGHT COAT FRONT TWO OUTSIDE OF COVERED MEN SHOP
WORDS,WINTER SHOP TALKING TWO IN IT MEN OF COVERED OF A COATS OF IN FRONT OUTSIDE GRASSY LIGHT LAWN COAT IN WITH OLDER A SNOW A
WORDS,IN COVERED TALKING IT A GRASSY IN OF COATS IN WINTER SNOW A MEN A OLDER FRONT SHOP LAWN OF OUTSIDE COAT WITH OF TWO LIGHT
WORDS,MEN A SNOW THE COVERED IN ELDERLY GRASS TWO HAVING BACKGROUND CONVERSATION
WORDS,ELDERLY A SNOW THE TWO IN BACKGROUND GRASS HAVING CONVERSATION MEN COVERED
WORDS,BACKGROUND HAVING CONVERSATION IN A THE GRASS ELDERLY SNOW COVERED TWO MEN
WORDS,ARE GROUND STANDING SNOW MEN THE AND IS TWO OUTSIDE ON
WORDS,GROUND ON AND OUTSIDE THE IS STANDING ARE TWO MEN SNOW
WORDS,AND ON MEN ARE TWO IS STANDING SNOW GROUND THE OUTSIDE
WORDS,OLDER IN COATS TWO ARE MEN STANDING OUTSIDE
WORDS,IN OUTSIDE MEN TWO STANDING ARE COATS OLDER
WORDS,OLDER OUTSIDE COATS MEN STANDING ARE TWO IN
WORDS,AN AT PURPLE IN HAT GENTLEMAN SCARF HOLDING ACCORDION A IS MONEY AND LOOKING A WHILE
WORDS,IN A WHILE A AN PURPLE SCARF GENTLEMAN ACCORDION HOLDING AND HAT MONEY LOOKING AT IS
WORDS,A A AND MONEY IN HOLDING HAT SCARF WHILE ACCORDION PURPLE GENTLEMAN AT LOOKING AN IS
WORDS,OVER RAVINE BMX BIKER A JUMPS
WORDS,OVER A BMX BIKER JUMPS RAVINE
WORDS,JUMPS BMX A OVER BIKER RAVINE
WORDS,TIED A IS BIKE STREET WHITE SIGN A TO
WORDS,WHITE A A SIGN IS TIED TO BIKE STREET
WORDS,SIGN IS A TIED A BIKE TO WHITE STREET
WORDS,A LEANING BIKE IS AGAINST POST WHITE A
WORDS,WHITE POST LEANING BIKE A AGAINST IS A
WORDS,POST AGAINST WHITE LEANING IS A A BIKE
WORDS,THE LOCKED THE AND BOY AWAY WENT CYCLE
WORDS,BOY CYCLE LOCKED THE AND AWAY WENT THE
WORDS,AWAY CYCLE WENT BOY THE AND THE LOCKED
WORDS,DURING DAYTIME CITY CROWDED A
WORDS,DURING CROWDED DAYTIME CITY A
WORDS,DAYTIME DURING CITY CROWDED A
WORDS,BIG IN A CITY WALKING PEOPLE AROUND
WORDS,BIG WALKING A IN CITY AROUND PEOPLE
WORDS,IN CITY AROUND A PEOPLE WALKING BIG
WORDS,A YORK THAT LOOKS NEW BUSY CITY LIKE CITY
WORDS,THAT NEW YORK A LOOKS CITY CITY BUSY LIKE
WORDS,YORK NEW LIKE LOOKS CITY THAT A BUSY CITY
WORDS,PEOPLE AND A CITY SQUARE TIMES YORK NEW OF VIEW STREETS THE IN BUILDINGS WALKING ACROSS
WORDS,CITY AND A SQUARE STREETS VIEW IN NEW TIMES WALKING ACROSS YORK PEOPLE OF THE BUILDINGS
WORDS,NEW STREETS OF BUILDINGS VIEW THE WALKING SQUARE ACROSS A YORK AND TIMES IN PEOPLE CITY
WORDS,A POT CLAY MAKING A IS WOMAN
WORDS,IS CLAY A POT MAKING WOMAN A
WORDS,IS A CLAY WOMAN POT A MAKING
WORDS,CUSTOMERS A FOR WAITING BARBER
WORDS,A FOR BARBER CUSTOMERS WAITING
WORDS,CUSTOMERS FOR BARBER WAITING A
WORDS,A SITTING SHOP BARBER MAN IN A
WORDS,A A IN MAN SHOP BARBER SITTING
WORDS,A SHOP IN BARBER SITTING A MAN
WORDS,TO GLAZE PREPARING BOWL A A WOMAN
WORDS,A A BOWL GLAZE TO PREPARING WOMAN
WORDS,A WOMAN PREPARING BOWL A GLAZE TO
WORDS,LARGE POT A WITH OF POTS WOMAN TABLE INSPECTS SIZE BASKETS A FILLED ON WEARING AN BOWLS CUPS AND ASSORTED A APRON
WORDS,POTS AND BOWLS INSPECTS A LARGE WITH BASKETS AN A A SIZE APRON FILLED CUPS WOMAN OF WEARING ON POT ASSORTED TABLE
WORDS,OF INSPECTS POT A LARGE ON AND A A FILLED ASSORTED BASKETS POTS SIZE WOMAN AN TABLE WITH WEARING APRON BOWLS CUPS
WORDS,AS REAL FEMALE MODEL IF POSING SOCCER SHES A LOOK PLAYER A TO
WORDS,LOOK A A PLAYER SHES IF MODEL SOCCER POSING FEMALE REAL AS TO
WORDS,SHES FEMALE TO PLAYER POSING A A SOCCER AS REAL IF LOOK MODEL
WORDS,FIREMEN STATION FROM SUBWAY A EMERGE
WORDS,SUBWAY EMERGE A FIREMEN FROM STATION
WORDS,SUBWAY A FROM FIREMEN EMERGE STATION
WORDS,WALKING LOOKING FIREMEN ARE EXHAUSTED
WORDS,ARE FIREMEN LOOKING WALKING EXHAUSTED
WORDS,FIREMEN WALKING EXHAUSTED LOOKING ARE
WORDS,FIREFIGHTER IN THE HOLDING HAND A NEAREST HIS LEFT IS FIREFIGHTERS THREE HELMET
WORDS,A FIREFIGHTERS FIREFIGHTER HAND HIS LEFT THE THREE HOLDING IN HELMET NEAREST IS
WORDS,FIREFIGHTERS IS A NEAREST HELMET HOLDING THREE LEFT HAND FIREFIGHTER THE IN HIS
WORDS,SIDE MAN ALONG WALKING A CLEAN CREW UP A
WORDS,A SIDE CLEAN A CREW WALKING ALONG MAN UP
WORDS,WALKING UP A CREW A CLEAN SIDE ALONG MAN
WORDS,LITTLE BOY A UNDERWATER SWIMS
WORDS,SWIMS A UNDERWATER BOY LITTLE
WORDS,UNDERWATER A SWIMS BOY LITTLE
WORDS,ON FORD HIS DRIVER A VEHICLE TRACK GRAVEL IS A RACING
WORDS,VEHICLE A ON HIS A IS FORD RACING DRIVER TRACK GRAVEL
WORDS,GRAVEL A FORD VEHICLE A DRIVER HIS TRACK ON IS RACING
WORDS,AND IN JUMPING GIRL POOL GUYS THREE A A ARE ALL TOGETHER
WORDS,IN GIRL ALL POOL AND A A ARE THREE GUYS TOGETHER JUMPING
WORDS,TOGETHER GUYS A IN POOL A ARE JUMPING THREE AND ALL GIRL
WORDS,A POOL IN PLASTIC A BOY A LITTLE UNDERWATER DINOSAUR HOLDING
WORDS,A HOLDING IN A POOL LITTLE PLASTIC DINOSAUR UNDERWATER BOY A
WORDS,A UNDERWATER BOY PLASTIC IN POOL A DINOSAUR A HOLDING LITTLE
WORDS,WITH TOY HAND BOY UNDERWATER A LITTLE IN HIS A SWIMMING
WORDS,LITTLE HAND HIS A IN SWIMMING TOY UNDERWATER WITH BOY A
WORDS,HIS HAND LITTLE A BOY SWIMMING A TOY UNDERWATER WITH IN
WORDS,A RODEO IN WEARING A RIDING AND MAN SHIRT BUCKING SHIRE IS HORSE A HATE WHITE A
WORDS,SHIRT A A SHIRE HATE MAN WHITE WEARING A RIDING IS HORSE RODEO BUCKING IN AND A
WORDS,HATE MAN A A SHIRT HORSE RODEO WEARING IN WHITE IS SHIRE A AND A BUCKING RIDING
WORDS,THE LIFTED A OF GETS HIS BUT RIDE HIS GRIP DURING OUT RIDER BRONC SADDLE SADDLE KEEPS
WORDS,LIFTED KEEPS SADDLE BUT RIDE OUT HIS GETS DURING THE SADDLE BRONC RIDER OF GRIP A HIS
WORDS,OUT OF BRONC LIFTED A DURING KEEPS HIS THE SADDLE SADDLE HIS BUT GETS RIDE GRIP RIDER
WORDS,HER A A WORKING ON STRANGE SIDE MACHINE WOMAN WITH AT WITH HAT STRAW COCONUTS A
WORDS,HAT WITH ON AT A COCONUTS STRAW WITH STRANGE MACHINE WOMAN WORKING A SIDE A HER
WORDS,WORKING WITH STRANGE HER ON AT MACHINE SIDE WOMAN HAT STRAW A A A WITH COCONUTS
WORDS,A SURROUNDED IS AND USING TREES SHUCKER CORN CORN RICE MAN SHUCKING WEARING HAT A IS BY A
WORDS,A TREES IS SHUCKER SURROUNDED CORN BY A RICE MAN SHUCKING CORN IS WEARING USING HAT AND A
WORDS,A CORN A IS RICE SHUCKER HAT AND CORN A IS SURROUNDED BY WEARING MAN SHUCKING USING TREES
WORDS,CHINESE PARK STRAW TO WHAT OPERATING SORT HAT MACHINE SOME IN STEEL A WEARING A WOMAN APPEARS A OF STAINLESS BE
WORDS,HAT STEEL MACHINE STRAW SOME APPEARS WHAT PARK TO A IN OF WEARING BE A STAINLESS WOMAN SORT A CHINESE OPERATING
WORDS,HAT SOME STRAW A WOMAN APPEARS WHAT OF OPERATING STEEL BE A TO CHINESE IN STAINLESS A MACHINE SORT PARK WEARING
WORDS,MAKING WOMAN A SIDE HER IS THE ON CART STREET OF FOOD A ON
WORDS,OF A THE WOMAN HER IS ON STREET CART SIDE MAKING FOOD ON A
WORDS,FOOD OF SIDE IS A ON HER MAKING CART ON WOMAN A STREET THE
WORDS,BLUE WITHOUT SHORTS IN ROAD A AND IPOD MAN LISTENING DOWN SHIRT THE WHILE A IS HIS TO JOGGING
WORDS,IN BLUE HIS AND DOWN ROAD A LISTENING SHIRT SHORTS IPOD MAN IS JOGGING WHILE A TO WITHOUT THE
WORDS,IS HIS AND A SHORTS TO BLUE LISTENING THE SHIRT IN ROAD WITHOUT WHILE JOGGING IPOD MAN DOWN A
WORDS,BLACK OUTFIT AND EXERCISING GREEN ONE ON WOMEN A HAS MAT WOMAN
WORDS,ONE EXERCISING BLACK AND HAS WOMEN ON MAT OUTFIT A WOMAN GREEN
WORDS,EXERCISING A WOMAN HAS ONE GREEN WOMEN OUTFIT BLACK ON MAT AND
WORDS,PRACTICING YOGA STUDENTS IN SETTING A CLASS
WORDS,IN SETTING CLASS PRACTICING A STUDENTS YOGA
WORDS,A IN YOGA STUDENTS SETTING CLASS PRACTICING
WORDS,MATS STRETCHING YOGA ON PEOPLE ARE
WORDS,STRETCHING MATS PEOPLE ARE ON YOGA
WORDS,ON STRETCHING PEOPLE ARE YOGA MATS
WORDS,DOING OF A PEOPLE GROUP ARE YOGA
WORDS,DOING YOGA OF PEOPLE ARE GROUP A
WORDS,A ARE PEOPLE OF DOING GROUP YOGA
WORDS,WATCH WHILE MOTORCYCLIST PERFORMING MEN TWO
WORDS,TWO WHILE MEN WATCH MOTORCYCLIST PERFORMING
